gene	IAE_mean	IBI_mean	IAE_minus_IBI
GZMM	0.5531640214256093	1.638230987483584	-1.0850669660579748
POU2F2	1.4060732552651967	0.32156340457763916	1.0845098506875575
LRP1	1.7118067365217828	0.6273481782905288	1.084458558231254
CCR5	1.7425755557803972	0.6647311725924534	1.0778443831879438
IRGM	0.7549930530405118	1.8316805759501367	-1.0766875229096249
IL1A	1.8763686171661746	0.7998540353894938	1.0765145817766808
CCL3	1.8686805276370948	0.795590484594492	1.073090043042603
ICOSLG	1.7199838009136537	0.6480513408805425	1.071932460033111
IL21	0.1681078269894608	1.2362603794375877	-1.0681525524481268
FCER1A	1.4702257476126233	0.4032978430298315	1.0669279045827917
CD163	2.08461856758088	1.0186993334997518	1.065919234081128
PTPRC	1.7074336497800222	0.6441233695122164	1.0633102802678058
CYBB	2.1167886934111984	1.0534992542957842	1.0632894391154142
CLEC4C	2.0698769046864975	1.0068812430594134	1.0629956616270841
ITGAE	-1.1826730314587703	-0.12086567581089898	-1.0618073556478713
CD4	1.5821873991381246	0.5345325002581088	1.0476548988800158
NFATC1	2.2452102507081273	1.2058446884206868	1.0393655622874405
BCL6	2.009811804420202	0.9774855910832353	1.0323262133369666
TNFRSF13C	0.37178047349737875	1.401284609954974	-1.0295041364575952
MFGE8	1.6365787202698423	0.6105835911381675	1.0259951291316747
MCAM	1.6241967074704955	0.6011583766105932	1.0230383308599023
IRF5	1.4919338923321686	0.4725693941558329	1.0193644981763357
RELA	1.0490542400136886	0.0297043891583042	1.0193498508553844
IFNAR1	2.078618463392055	1.0695419950648202	1.0090764683272349
IFITM1	0.17788258380212466	-0.83071457465734	1.0085971584594646
MAPK8	-0.0430464187811965	0.9620877134178109	-1.0051341321990073
HLA-DQB1	0.8376946622842598	-0.16743646973426007	1.00513113201852
CD3G	0.8940161997822286	1.8958802278436686	-1.0018640280614401
MAP2K4	0.1693526756108667	1.1690003676554532	-0.9996476920445865
CD22	0.4456736762237117	1.4437327163763507	-0.998059040152639
ITGB4	0.7605244111165439	-0.23435259769780803	0.9948770088143519
CD53	2.118798123648013	1.131174811093659	0.9876233125543541
CXCL6	1.5710529925676187	0.5861930767551928	0.9848599158124258
ISG15	1.9522214071448007	0.9683501469556973	0.9838712601891034
MAP2K2	1.4079641315276423	0.42702418793240104	0.9809399435952413
ITGA5	1.5800263611067469	0.6066503640599489	0.973375997046798
TNFRSF1A	1.7798194838335215	0.810037830229604	0.9697816536039175
TAP1	1.0539701093695446	0.08588508988600872	0.9680850194835359
CXCL9	0.9346116311079985	-0.03161485332954935	0.9662264844375479
CHIT1	1.8249459413914868	0.86009338167612	0.9648525597153668
