gene	TNT RNA 5	TNT RNA 6	TNT RNA 11	TNT RNA 12	TNT RNA 41	TNT RNA 42	TNT RNA 29	TNT RNA 30	TNT RNA 32	TNT RNA 33	TNT RNA 38	TNT RNA 39
CCL14	-1.0538871074644829	0.8711975850831206	0.11935294821955147	0.6012411305550627	0.19177557076374863	-1.3502321927945027	0.0010307217538989564	1.610180651355645	-1.907397064192783	1.049304080278837	0.4600359164928245	-0.592602240050917
CCL15	-0.5598003192211112	-0.5556976884067484	1.1990285554012066	1.0943449995752972	0.5485367020304168	-1.3123343204786189	-1.1485133224750983	0.5641850153200855	-1.745814870232316	0.9370740704121457	-0.09225716059268342	1.071248338667412
CCL16	-0.22207566922281483	0.011521007246577689	0.15260200350321335	-0.28054935328648634	-0.37392319482782094	-1.190843371646855	-0.1569840323508788	-0.07447529196230865	-0.4325266269746045	-0.5549725590757977	-0.0027298757277240313	3.124956964325499
CCL17	0.31283296948886524	0.3706328713242698	-1.0377395291900335	1.343831576864803	-0.10260535948626646	0.057576409574484316	-1.1164206418287181	-0.11633851227265575	-0.1409552714927598	-1.1282194732567057	-0.818592873774522	2.375997834049241
CCL18	0.5584070980228779	2.7676814434972847	-0.46782582519174304	0.2493222800050664	-1.3223239862213354	-0.6496858999872556	-0.47112191445228285	-0.257089526125373	0.2887734661740155	-0.6443741802626951	0.6019987105000681	-0.6537616659586175
CCL19	0.12977841616979308	0.9497705071264172	0.345768801050024	0.61539957260891	-0.5022508420580579	-0.49845841288016446	-2.1960092811177425	1.264363627902378	-1.033867465025399	-0.26902305498926116	1.5476134585200694	-0.3530853273069667
CCL2	-0.48368280817088904	1.5441806077086828	-0.5601016410150524	0.7438790639721321	-0.08380976470390639	0.4092332368832337	0.6053128357228198	-0.2751437525655551	-2.5119089555370637	-0.30900236234298567	-0.2704207677660581	1.191464307814638
CCL20	0.23265487123685943	-1.3368416447829772	-0.890763675621269	0.5523699319994066	0.4826894843048474	0.7006928624339616	-0.9593714000378661	0.40405314932439745	1.3778046527390202	0.29711927529793797	-1.9947748671782504	1.1343673602839315
CCL21	-0.20114767153422078	1.0650399920281395	-0.3098967836777069	-1.002885393467941	-0.32413502197589533	0.3132140864229147	-0.04259156728737851	1.6992470277848377	-2.014186761813705	-0.17827451554187076	1.509400339575461	-0.5137837305126405
CCL22	-0.37693424167544015	0.8951105172200489	0.11930901855443041	2.2716942427788727	0.05951697942041956	-0.5046635753062674	-1.500497479431108	-0.8047287309294936	0.8147826891729874	-0.4749563525041373	-1.174191638279458	0.6755585709791478
CCL23	-0.5940264732327128	1.0901605189723114	-1.4044809797896698	-0.6559929191905618	-0.05371121040088147	0.21114093691320818	-0.8606553793422119	0.7684902214444931	-0.361578672545232	-0.4025865006018037	-0.2509634133910376	2.5142038711641015
CCL24	-1.182632796060607	0.2506523662126455	0.09003239368225863	1.1411766487950918	-0.8486313233675837	-1.231814656897229	2.4679245935430356	-0.4652281133701056	0.09814060263808737	-0.08030290620645085	0.4455031716755751	-0.6848199806447168
CCL25	-0.20449442864834178	0.4124462152792499	-0.3396365889843903	-0.5251919956706566	-0.7921663885081194	0.023878894918228193	-1.7389999752864012	-0.019210240904091024	-0.02338171280836078	1.3348288578500445	-0.5148864068738588	2.3868137696366976
CCL26	-0.25660274745215317	0.7003745740117289	-0.5061907637063185	0.47677613666978386	-1.160514182670487	-0.9563462859556665	-0.4874275264786503	0.21705680396760366	-0.7292341352291897	0.5764575009434042	-0.5636300829475709	2.6892807088475177
CCL27	-1.0528357555435608	-0.09230735426689789	0.28963195176013046	0.36746760840195836	0.774623896203131	-0.00847411057011567	-0.6351905084646485	1.2000384482684892	0.02260460947821246	-0.3253080999456268	-2.266140389353853	1.7258897040327927
CCL28	0.14379370348475393	-0.16402774975652162	0.2214122858984899	0.2311077335230283	0.8048921932777593	-0.36627211758905	-1.9781476537683913	1.3000689466984783	-0.06752183416763662	1.2321286287832858	0.5502491837525915	-1.9076833201367933
CCL3	-0.3684007661284075	1.0461553062830062	-0.4173207437372396	1.905484239125536	-1.121031210784057	0.1278635269006102	-0.8923705997571783	-0.6462968270922168	-0.016248006983782804	-0.5843759635767266	-0.871142295980505	1.8376833417309537
CCL3L1	-0.17764179346889972	1.1270819205962352	-0.2506517503970536	2.0888709954551024	-1.0580217755933456	0.23850452912943731	-0.8793487141906956	-0.417358142935505	-0.49142851284211386	-0.7991504167283778	-0.9306644625075889	1.5498081234828112
CCL4	-0.2902370696563408	1.4538711820858614	-0.08690939088162636	2.3447823997370687	-0.8594774779828156	0.39621842336620683	-1.2235784104315208	-0.22489389445361263	-0.6363906580369104	-0.5713746225637018	-0.8844846630115021	0.5824741818288964
CCL5	-0.8124398370620594	2.00879445879554	0.9650490321396162	0.5562553022628859	-0.3349456172329784	-1.3615827537017928	-1.8373962773085377	-0.3092366158831062	0.0941678030636897	0.20721394764961668	0.06941930773161542	0.7547012495455109
CCL7	-0.061547063145961055	0.8276452530693634	-0.9931406318931133	0.3435615025440189	-0.5061178996963855	0.015237222921960903	-0.49448096894283683	0.28649168736218966	-0.4374096795604157	-0.8942763139887526	-0.8870328134100591	2.8010697047399846
CCL8	-0.39728665915545996	2.093509133400512	-0.9358737277697996	0.9739941299669358	-1.1268486505868893	-0.7897432072934407	0.6202546614245316	0.17291204607515548	-0.9401460158834575	0.33569029635680364	-1.082624026864428	1.0761620203295383
CCND3	-0.18985333719410577	0.602170132014145	0.11302967719740922	1.607315058812253	-0.8432237972841758	-1.0905514554277846	-1.5444174022129808	-0.00392939603382131	1.521030828964641	1.1268058346173513	-1.0322178082146543	-0.2661583352382979
CCR1	-0.2652470470496961	1.8014984862764447	-0.5316389040886021	2.0811849333643377	-0.5128723687338987	-0.139255463633388	-0.48378518820369687	-0.03024201510680286	-1.3320379563648457	-0.16788419192498996	-1.121531941898856	0.7018116573640001
CCR2	-0.5186087024716398	1.9381363514320715	0.2770721474217178	0.9169808473020091	-0.8673490069011348	-0.9365085271245217	-0.9609997533264621	0.5238986594591621	-0.3800169746272805	-0.7000260974234948	-0.9395499023052782	1.6469709585648473
