gene	subj_2	subj_4	subj_14	subj_10	subj_11	subj_13
CD244	2.499237728602676	0.09177164908827318	0.13794963637962818	2.2740299469647125	0.9913735795713311	-1.7127382202828576
CD247	2.411422236055669	-1.0797725620498855	-0.9625354660024692	2.5929314601543365	1.1295321845926685	0.5327618954713227
CD27	1.7875419019967638	-0.41521591413496367	-0.4317256715160063	1.7611188119170327	-0.21157508215059198	0.6416933293407724
CD274	1.4598471666244317	2.253143976023803	-0.46868365329752293	1.4503297408390168	-0.13863448513097076	2.377017561115597
CD276	1.8074120586267615	0.79107638188053	0.4183055647848653	-0.45718786939840805	-0.0906412058110932	2.642335689263987
CD28	2.3408140016198926	-1.7431294791293188	0.34188738573104793	-0.30105187132645395	-1.7269372762612056	2.4904272120892816
CD33	3.401977401306489	0.3479097354304013	0.6447254909896303	1.2033068231938655	1.6494026174608032	0.687912411932225
CD34	2.314218254664847	1.3817874891894055	-1.7954300926290947	-0.6125334148881769	-0.5421122978298525	2.3181918702838855
CD36	2.196994534394209	1.1462548982613896	0.7033032907324644	1.5701901215342755	3.251440290245159	-1.1342279161560265
CD37	3.0968234592185975	0.4492677387159375	0.5126364342049965	1.5175460736552813	1.4350857295780646	0.8468993856209981
CD38	1.949176288783014	0.3237621627966685	-1.0460555701651768	1.22627342473556	0.8537212377050378	-0.7634390036067776
CD3D	1.7825820960052108	-0.8882387113007049	-1.1569377527333335	0.9765426372735808	0.8251468973273074	-1.0975901057974877
CD3E	2.9717196100324994	-0.9844360173460089	-1.2699305424078138	1.6385407186673207	0.0	-0.7819248127904121
CD3EAP	-0.9189805220401851	-0.1601558054522106	-0.10833653969269978	-1.5862536749816467	-1.4311027684174262	2.937535589651798
CD3G	2.798827825356024	-1.010795425791567	-0.47051661659370325	2.2984125467321888	1.1910580085519766	2.19817012824684
CD4	2.058876195754256	1.1054986025219933	-0.18084852014059005	0.14857994876050146	1.7239053528622337	-0.2688878008484086
CD40	1.8181572283484468	1.6876189811582374	0.29023830706686854	-0.2264458877269192	0.7514676792224566	3.0402600779338873
CD40LG	1.6942939166136881	0.831978469621321	0.7831317022827613	1.5549592277559072	-1.0630871010084777	3.497867062047831
CD44	2.0255956228592793	1.3918532939167565	0.8925078312727618	-0.19942075205395748	-1.107760557796017	2.698197960082371
CD46	-0.7295663206612225	-0.5658635091249575	0.22870967228788897	-1.650811700277056	-0.8726390131944314	-1.3837433191087491
CD47	-0.8299908476776325	0.45008122687526997	0.5667900668818872	-1.3829744085627005	-0.09156739903105937	-0.8752501749169737
CD48	1.8339164703977087	0.5423692658774611	0.18343624028903355	1.9717158539793354	2.072267909682239	-0.9041809305236558
CD5	2.6605205205438383	0.4076118122668027	0.7487700745297456	-3.1285523996592612	0.2586651536622056	1.3175875242804334
CD53	2.5359004862277934	1.7016957610682326	0.5989971400065248	0.6097364598767797	1.7301085024403655	1.0536794709638322
CD55	1.7706909682949914	-0.01890578416269495	0.7597208303862087	-0.1519504036702617	-1.369072482560393	3.5398702571802088
CD58	0.16300510556464137	0.6280832117062007	0.1371342845431913	2.0075941656255214	1.7866798495630405	-2.13949438017531
CD59	1.9822608522561622	1.0435738224008295	0.12992443627491207	2.5649034880631696	2.4351760926423918	1.1519291648380994
CD6	0.31410277163799094	1.5341168253445208	0.008497354348099728	0.12322182978509932	-1.8232295336890365	2.0042444700029804
CD63	1.5765793258455811	1.148668796962834	0.436262192078734	2.9068369136937546	2.5691385393556634	-0.6504021443538026
CD68	1.077390222257881	2.273286014994558	-0.22888843016449667	2.032300085799828	1.5180089900148364	0.886950914072245
CD7	1.7399772347117342	1.1704591216191211	-1.0020751591742112	1.7923759314130183	-0.4147252811461941	0.6816292427260806
CD70	2.4624819855311366	2.039380466758043	0.8335946375429847	1.7367458565759186	0.2976705224230585	2.959705465617051
CD74	2.1336361904030032	0.7184114583159402	0.4791930865898296	1.2900902582315132	0.3296044068434977	-2.148951665201169
CD79A	1.7691974770883565	-0.10194919331513563	-0.7030768092160321	2.062793859206791	0.5952641857675902	-1.7700901077568205
CD79B	1.76024500643157	-0.6735287935588132	-0.5902599718476069	1.7334220530250843	0.7591631702402423	-0.11336129116726634
CD80	1.4380159594361186	1.9304639015165512	0.07710356038638988	0.9608588889568217	0.7781652347396457	2.656673230663337
CD81	0.0026968620573621926	0.09207313452197086	0.8652232698426873	-2.2815656459002014	0.29033790675039783	0.6222842338142672
CD83	0.9083568009462848	2.2473369951712168	0.6011299966695595	0.23115044961377604	-0.06557724166482798	1.955935664984025
CD84	2.275366758376444	0.8256893319831224	0.07105066798256898	1.9372042619696508	2.337775644609383	0.011159073205816106
CD86	1.8751472032283254	1.9550296291955096	0.07805831672385266	1.4509978982452907	2.12008712280062	1.697454158117533
CD8A	2.7418224232076107	-0.765410401463617	-1.2331149041077611	1.5550695811329918	0.8624618896348434	0.33539889868782297
CD8B	0.457086664668122	-0.22708702883143084	-0.7077746478426826	-1.4202496831179836	-0.5648589413039472	2.7073672997275375
CD9	-1.329557472385896	0.1275137509708324	0.09166092405228288	0.5297164856396227	0.05644814030034456	-2.087095651417391
CD96	1.8157199927940608	-1.6905004170478588	-0.5844508305244704	1.8926700608808744	1.8004220440073126	-1.122940280854877
CD97	1.6500361647328463	1.4630191955477168	0.2911096633372109	-0.6606930770108804	-0.4765750898096525	0.068843393941586
CD99	2.6342068513732357	0.21851778923518883	-0.7762698294771277	-1.0436628839873412	0.2232991640415174	0.9453094074466407
CDH1	-1.6353751852634864	0.05113922981797647	-0.7047191997072929	0.9492325380640089	0.854462785785105	-2.6370176263103366
CDH5	3.6168851075869055	-0.33903778301201004	-0.8086328631830009	-0.18261174927290139	1.9026102834153666	1.6078558136194856
CDK1	-1.5987205658851638	-0.7185696844154614	0.26689796070331506	-2.0794013847298096	-0.15088295959623566	-0.1043935086633434
CDKN1A	1.6484059140281304	1.631509949553514	0.16481825178391296	3.0932009440331134	2.5041118843433887	0.42025556129748587
CEACAM1	-2.1068585633564703	0.6636620226588634	-0.044882201814658296	2.705477704747705	1.5678764694948795	-0.38610340470393
CEACAM6	-1.29267554163029	0.4788221516758658	0.20406828341648198	2.669281421724479	1.1133854491426438	-0.3314005617935305
CEACAM8	-0.27405359378799155	1.525489511241745	1.9484608438216395	2.2220012072929287	-0.7242088573857836	2.9887701240110234
CEBPB	0.710116871282369	1.6584977714853593	0.9775872782879175	-1.6528673759746144	-1.0548560758784815	2.1036545540383957
CFB	0.903643689055079	1.47050461900505	-0.9709621438202906	-0.6062034740642191	-0.20977183682105066	2.74267227414552
CFD	3.5675446424614137	0.9918018611525636	0.07645976019241643	1.8323932349773635	1.2024791493076712	-2.055884491269036
