gene	pearson_r	pearson_P	ns_delta_mean	rna_delta_mean
TGFB2	0.9629914739718002	0.008498863702716448	0.7668477920158876	0.9232103382427749
CD59	0.9629217062564432	0.008522817558466067	0.8404477365804489	0.6317513908339679
CD164	0.9621941751278911	0.008773920055725705	-0.6579919338697025	-0.41742481415334093
TNFAIP3	0.9620364865125823	0.008828660005165068	1.8183511946371127	1.9066341270631035
IFITM2	0.9595380722815352	0.009710691678572043	1.295431131342962	1.4410827843699994
IL1RAP	0.9593074914466624	0.00979347414948482	1.0205536642812068	1.05498165118893
THBD	0.959217975677444	0.009825673856834274	1.3543336625407025	1.7231227685094712
NFATC3	0.959197748952551	0.009832954406602385	-0.14365745375723032	-0.5493714599017789
CEBPB	0.9590347241755814	0.009891699174700203	0.822046239069582	0.9597075692190964
HLA-DPA1	0.9586899088682261	0.01001632791243926	0.3749602851817565	0.45226824652438163
HLA-DMA	0.9569450544791143	0.010654758349194214	0.738669284967397	0.39335577913689024
BST1	0.9569380307481677	0.01065735429812927	1.3397367103535722	1.348207848635873
PSMB10	0.9565860433175503	0.010787712565736185	-0.049830196647610056	-0.43645515397525597
ETS1	0.9563884344150377	0.010861123940718354	0.5798809959608826	0.5632138582212275
SELE	0.9559458750721841	0.01102612394768202	1.1970939278123658	0.7559043148987278
THBS1	0.9559150530017397	0.011037645682338608	0.777714223814759	0.6169063315214389
TNFRSF10C	0.9558302350881578	0.011069372164892928	3.4084773245812934	3.6475611935511445
CREB5	0.9555919495700084	0.011158663119194999	1.2096382418138574	0.9861827110350351
LIF	0.9553124047166276	0.011263713655743555	1.6606587320615058	1.105008016506537
CLEC7A	0.9548365028993212	0.011443292546250925	1.4725536670043051	1.5335221216271149
THY1	0.9546401897060227	0.01151764050376534	0.30969958626167743	0.03560523345208102
MST1R	0.953404609911645	0.011989177108586237	0.23618024388449665	-0.27178417720919157
SPINK5	0.9533346514134985	0.012016060077440296	0.6078358151854055	0.750428846426741
CCL24	0.952895269345918	0.012185350768244651	-0.5383833731686729	-0.8826467772575978
EPCAM	0.9524746794679793	0.012348124451980427	-0.7058875902623811	-0.5327962394078103
CEACAM6	0.9521700411538981	0.012466463367736099	0.563639868587219	0.8538273812180158
C1QB	0.951801605934069	0.012610076465371784	0.45852514272730305	0.2882049881780103
F12	0.9517585178089465	0.012626906944323784	-0.3761205327771549	-0.588596301689164
CYLD	0.9512058710528536	0.01284342294608577	0.685431000560971	0.28709447487634876
MAPK3	0.9505950658492065	0.013084118651748385	-0.2966105474411549	-0.5953142544430232
PRF1	0.9503060424048709	0.013198519673307447	0.6480455341513078	0.17075064312024635
CFB	0.9500668570752936	0.013293439374551706	0.6152510998418214	0.25490498097644154
CDK1	0.9497586735953271	0.013416067591044733	-1.513162069504776	-1.4228140449018345
FPR2	0.9494802357135483	0.013527175417416479	2.827900145171339	3.36457189677214
HLA-DPB1	0.9488643567935973	0.013773995287189773	0.43366495643619024	0.4736382751945928
CHUK	0.9466363021745062	0.014678968446791679	0.05596043802496329	-0.11414615685064415
RIPK2	0.9459372498905759	0.014966750028051768	0.537586679696459	0.3729217544935904
VEGFC	0.9449493458856665	0.015376535578452687	0.8416217003205244	0.31076015547774605
MAF	0.9444641328491418	0.015579119685325143	1.4871530446784873	0.5633028082837255
PPBP	0.944181204123038	0.01569764480845141	2.919041585851926	2.55665350418277
CCL7	0.9440950988292152	0.015733774243712424	1.1685238889977032	1.8219172971825255
CCL5	0.9435737196164125	0.015953119484830053	0.8488908108822155	0.4901670079099743
MCAM	0.943414733420697	0.01602020172199148	0.5409819124340707	-0.02102689643404352
IL32	0.9426812508214897	0.01633086893594517	0.48447198888464127	0.3878900964738502
IL6R	0.9421649978441963	0.016550689475522674	0.9515073433874784	0.9036130037194685
CEACAM1	0.9416875541146078	0.01675483421609112	0.21390214196702573	0.2583081553067883
TLR2	0.9413689156455932	0.016891529376923356	1.7393513348791665	1.8078443291494988
PLAU	0.9407985356203176	0.01713712111280997	1.0315741051034948	1.6457864149058643
APP	0.9399376514759964	0.01750997204687552	0.11957977841264658	-0.10518646037675321
LAG3	0.9394558692538735	0.017719768346716534	0.36079264451265647	0.20602479448449568
MYD88	0.9392204513740339	0.017822578036895333	0.5873993413334017	0.2236585459530925
PDGFC	0.9380697772401171	0.018327860829908373	0.7362140664018268	0.6048169240904582
ATG10	0.9370971909486652	0.018758503505885205	0.1867494974626666	-0.31359059376097825
CXCL14	0.9369843234632944	0.018808688985605518	-0.8620265833625924	-0.7360315662169938
TLR3	0.9350350722558362	0.019682232000008282	-0.035832456771012565	-0.30712605098562734
COL3A1	0.9340795561168002	0.020115112948516527	1.6300846691603366	1.4072624360413613
CFD	0.9337514994161519	0.02026443617845731	0.9698880498667883	0.3009556762921618
CLEC5A	0.933708387606015	0.020284086196617725	1.193087290733441	1.1587051310709093
ULBP2	0.9329213142135073	0.02064391053208559	1.2270691127764803	0.8474587981747002
ICAM1	0.9325382380177617	0.02081978068157315	1.7009144680627106	2.1117107434555993
ITGAL	0.9301355629966966	0.021933792844362067	1.1182769022837582	0.7707471891856714
PNMA1	0.9291539196079224	0.02239431431282425	0.7299266470130601	0.2360481993347087
GPI	0.9280522100370268	0.022914834159887595	-0.4371051672536684	-0.8566703981986075
PDGFRB	0.9280423177014916	0.022919525440937318	0.22471855451055553	0.29413575814100373
CCL2	0.9277751782346653	0.02304632934581176	1.3184005912315098	1.7951395674300628
CD7	0.9276574100840799	0.023102302492772002	0.5535057211019463	0.6652455574821646
HMGB1	0.9276567208217272	0.02310263021630255	-0.6395219578847771	-1.2806805072104888
ITGB1	0.9275762536196633	0.023140900277546502	0.3884531736361012	0.4992564156923539
FEZ1	0.926695813772673	0.023560970296990225	1.0646856243832803	0.4357235267921869
CTSS	0.9254716871952868	0.024149058751081632	0.19139543658267258	0.39209842296147085
