gene	good_median	bad_median	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
OSM	1.2942896386483522	-0.3250862574335747	1.3454796986653017	0.3856716022443829	0.35	0.7	good>bad	0.8998459167950693
PECAM1	1.181940949161514	0.4550614106498266	1.1342870510740422	0.5856003315416365	0.35	0.7	good>bad	0.8998459167950693
NFKB1	0.18972267975734863	-0.021711188322602548	0.3657109141385258	-0.17035604320887013	0.35	0.7	good>bad	0.8998459167950693
NOD1	0.5865204730827124	-1.565864866381092	0.4067396657883828	-0.579456676017582	0.35	0.7	good>bad	0.8998459167950693
NOD2	0.13840031905031436	-0.3042100031250818	0.8354399736041392	0.02400880654944289	0.35	0.7	good>bad	0.8998459167950693
CT45A1	0.7650847686267764	0.7312515016447121	0.7987521817130737	1.5610712089681391	0.35	0.7	bad>good	0.8998459167950693
CTAGE1	0.7722387700327262	-0.3934846607030103	0.682124642384703	0.8429062415664998	0.35	0.7	bad>good	0.8998459167950693
IL17RA	1.9225434502660363	1.1588255243645698	1.3562739210341581	1.0933548847798633	0.35	0.7	good>bad	0.8998459167950693
IL17RB	0.23634595394704194	-0.5392921774980661	-0.6267241658609337	-0.9082731499505359	0.35	0.7	good>bad	0.8998459167950693
IGF2R	2.249708662463469	0.1768639370963913	1.71730437276092	0.9004767481181256	0.35	0.7	good>bad	0.8998459167950693
IKBKG	1.2239960351886192	-1.1819953507443184	0.9991223395335052	0.02744924981725057	0.35	0.7	good>bad	0.8998459167950693
IL11	1.5590528319473516	-0.7426671520759891	1.4976544634408497	0.2045244765679676	0.35	0.7	good>bad	0.8998459167950693
ITGB4	0.709263574432247	0.28536782329625465	0.5143713901701084	-0.23435259769780803	0.35	0.7	good>bad	0.8998459167950693
KIR_Activating_Subgroup_1	0.440413361914073	-1.2578571482730214	0.4060017455576685	0.2942595263827011	0.35	0.7	good>bad	0.8998459167950693
ITGB2	1.4769869697206608	0.70969963456642	1.1941582472930123	0.6787923251943285	0.35	0.7	good>bad	0.8998459167950693
IL1RL1	1.6523178505622396	0.5276121034963716	1.7237913695979312	1.0739214297383122	0.35	0.7	good>bad	0.8998459167950693
IL21R	0.4781755779166404	-0.2055912253324732	1.0886243436737753	0.6284684913039739	0.35	0.7	good>bad	0.8998459167950693
IL23A	1.3339547884607517	-0.3135873608326448	1.1432903021184269	0.8587880202315188	0.35	0.7	good>bad	0.8998459167950693
IL24	1.5415808512362632	0.029206905587365384	1.555345447960842	0.7400196287606295	0.35	0.7	good>bad	0.8998459167950693
IL2RA	1.2581309740766382	1.112413453424435	1.2356979393993888	0.9843607885860629	0.35	0.7	good>bad	0.8998459167950693
ITGAM	1.6492717059470774	0.7413966612148806	1.7424356949859743	0.9343972212363146	0.35	0.7	good>bad	0.8998459167950693
IL1B	1.4678516858173656	0.6964756377757632	1.8736857999163306	1.1635101251218518	0.35	0.7	good>bad	0.8998459167950693
IL1RAP	1.8949555835895042	-0.1203357844610412	1.688909091613942	0.7579543122971323	0.35	0.7	good>bad	0.8998459167950693
IRAK4	0.284660810855756	-0.1476956986978124	0.5831074744069038	-0.1914972652148279	0.35	0.7	good>bad	0.8998459167950693
MX1	2.0411365216510773	1.4588088015827683	0.9699900001559483	0.952179013585158	0.35	0.7	good>bad	0.8998459167950693
NCF4	2.2184323094399	1.1028918685503104	1.673363016729567	0.8089213980885895	0.35	0.7	good>bad	0.8998459167950693
CREB1	-0.3751241282663952	-0.6312394493750286	-0.3120881950772453	-0.6612949202060545	0.35	0.7	good>bad	0.8998459167950693
CREBBP	0.4296556362215819	-0.2516963138272714	0.5120951627707603	0.3222971638568793	0.35	0.7	good>bad	0.8998459167950693
CSF2	1.311161291082501	-1.3260427050338057	1.0245436772109546	0.2093489853061108	0.35	0.7	good>bad	0.8998459167950693
CSF2RB	2.335131226701333	0.44257943957317325	1.7912599517992298	0.8160598497079598	0.35	0.7	good>bad	0.8998459167950693
CKLF	0.5427655608344686	0.04382943816207684	0.5656077153772395	0.27784435510456923	0.35	0.7	good>bad	0.8998459167950693
CLEC4A	1.8603446152119751	1.2390120668101314	1.627785306011189	1.2649197270808823	0.35	0.7	good>bad	0.8998459167950693
CR1	1.922591538140245	1.4246358043238025	1.664212057419195	1.2464770091971367	0.35	0.7	good>bad	0.8998459167950693
PSMB7	-0.05022193509596051	-0.7000621281023973	-0.07997150743750658	-0.33107445478176967	0.35	0.7	good>bad	0.8998459167950693
PTGS2	1.630742549488786	-0.4855158665262743	1.7369612449837215	0.5838868769752984	0.35	0.7	good>bad	0.8998459167950693
PTPRC	1.2298765682607877	0.719264868342646	1.3093975582618975	0.6441233695122164	0.35	0.7	good>bad	0.8998459167950693
PVR	0.03265939391379369	-0.6984696478869	0.07573421402883258	-0.44430163469941414	0.35	0.7	good>bad	0.8998459167950693
POU2F2	0.09426600660654405	-0.5055493875226202	0.7592423847323219	0.32156340457763904	0.35	0.7	good>bad	0.8998459167950693
PPBP	0.836275600883778	0.28249766115080077	0.9111656755697105	0.48766324596241856	0.35	0.7	good>bad	0.8998459167950693
