baseline	delta	n_paired	spearman_r	spearman_p	pearson_r	pearson_p	partial_r_resp_adj	partial_p_resp_adj	partial_q_BH
G2-M Checkpoint	SBS5_delta	13	-0.479	0.098	-0.515	0.0715	-0.335	0.2636	0.9519
TMB_nonsyn_per_Mb	Treg_delta	12	-0.049	0.8799	-0.228	0.4754	-0.347	0.2691	0.9519
TGF-beta Signaling	IGH_n_delta	12	0.217	0.4986	0.269	0.3985	0.346	0.2701	0.9519
Bcell_infiltration	MHC_II_delta	12	-0.413	0.1826	-0.342	0.2764	-0.345	0.2724	0.9519
Antigen_presentation	neo_binders_delta	10	0.345	0.3282	0.112	0.7571	0.385	0.2726	0.9519
DNA Repair R-HSA-73894	SBS5_delta	13	-0.536	0.0588	-0.492	0.088	-0.329	0.2727	0.9519
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Tcell_infiltration_delta	12	0.406	0.1908	0.496	0.1013	0.344	0.2735	0.9519
Tcell_infiltration	Treg_delta	12	-0.573	0.0513	-0.501	0.0973	-0.343	0.2744	0.9519
TMB_nonsyn_per_Mb	IGH_n_delta	12	-0.189	0.5567	-0.383	0.2188	-0.341	0.2786	0.9519
frac_amp	SBS5_delta	14	-0.138	0.6369	0.094	0.7497	-0.31	0.2801	0.9519
EMT_Mak	Treg_delta	12	0.042	0.897	-0.035	0.9152	0.337	0.284	0.9519
CIN	SBS5_delta	14	-0.356	0.211	-0.249	0.3912	-0.305	0.2894	0.9519
Hypoxia_Buffa	Tcell_infiltration_delta	12	0.322	0.3079	0.526	0.079	0.331	0.2925	0.9519
Bcell_infiltration	CD8_cytotoxic_delta	12	-0.343	0.2756	-0.168	0.6025	-0.331	0.2939	0.9519
Hypoxia	neo_binders_delta	10	-0.261	0.4671	-0.086	0.8135	-0.366	0.2985	0.9519
Antigen_presentation	CD8_cytotoxic_delta	12	-0.308	0.3306	-0.238	0.4555	-0.327	0.3001	0.9519
Epithelial Mesenchymal Transition	CD8_cytotoxic_delta	12	0.273	0.3911	0.033	0.9199	0.326	0.3011	0.9519
MHC_II	TLS_Cabrita_delta	12	-0.336	0.2861	-0.472	0.121	-0.323	0.3052	0.9519
NLRC5_HLA_IFNG	Tcell_infiltration_delta	12	-0.245	0.4433	-0.014	0.9644	-0.322	0.3077	0.9519
CD8_proliferation	Tcell_infiltration_delta	12	0.378	0.2262	0.482	0.1121	0.318	0.3143	0.9519
Bcell_infiltration	Tcell_infiltration_delta	12	-0.357	0.2551	-0.298	0.3461	-0.317	0.3157	0.9519
Antigen_presentation	SBS5_delta	13	-0.355	0.2341	-0.474	0.1014	-0.296	0.3265	0.9519
frac_del	CD8_cytotoxic_delta	12	0.273	0.3911	0.308	0.3294	0.306	0.3326	0.9519
E2F Targets	SBS5_delta	13	-0.446	0.1269	-0.487	0.0914	-0.292	0.3334	0.9519
Hypoxia_Buffa	CD8_exhaustion_delta	12	0.259	0.4168	0.185	0.5649	0.305	0.3344	0.9519
Hypoxia	MHC_II_delta	12	-0.133	0.6806	-0.4	0.1972	0.305	0.3346	0.9519
Bcell_infiltration	neo_binders_delta	10	-0.212	0.5563	-0.258	0.4721	-0.341	0.335	0.9519
Antigen_presentation	neo_sites_delta	10	0.273	0.4458	0.055	0.8808	0.34	0.3358	0.9519
CIN	MHC_II_delta	12	0.329	0.2969	0.39	0.2096	0.303	0.3376	0.9519
Epithelial Mesenchymal Transition	TRB_shannon_delta	12	0.154	0.6331	0.033	0.92	0.303	0.339	0.9519
CD8_cytotoxic	Tcell_infiltration_delta	12	-0.294	0.3541	-0.196	0.5417	-0.303	0.339	0.9519
Antigen_presentation	missense_delta	11	0.264	0.4324	-0.051	0.8827	0.318	0.3412	0.9519
NLRC5_HLA_IFNG	neo_sites_delta	10	0.236	0.5109	0.08	0.8261	0.333	0.3469	0.9519
TGF-beta Signaling	neo_sites_delta	10	0.37	0.2931	0.201	0.5775	0.333	0.3469	0.9519
MHC_II	Tcell_infiltration_delta	12	-0.308	0.3306	-0.251	0.4321	-0.294	0.3529	0.9519
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	SBS5_delta	13	-0.465	0.1094	-0.481	0.0959	-0.272	0.369	0.9519
Stemness_mRNAsi_proxy	missense_delta	11	0.182	0.5918	0.206	0.5437	0.3	0.3694	0.9519
frac_del	TLS_Cabrita_delta	12	0.21	0.5128	0.261	0.4125	0.285	0.3699	0.9519
EMT_Mak	CD8_exhaustion_delta	12	0.077	0.8122	-0.015	0.9639	0.285	0.37	0.9519
Antigen_presentation	Tcell_infiltration_delta	12	-0.238	0.4568	0.187	0.5601	-0.284	0.3709	0.9519
CIN	CD8_cytotoxic_delta	12	0.294	0.3541	0.145	0.6535	0.284	0.371	0.9519
CIN	missense_delta	12	0.27	0.3966	0.401	0.197	0.278	0.3814	0.9519
Myc Targets V2	neo_sites_delta	10	-0.467	0.1739	-0.309	0.3842	-0.308	0.3867	0.9519
CD8_cytotoxic	neo_sites_delta	10	0.297	0.4047	0.263	0.4637	0.307	0.3879	0.9519
CD8_proliferation	IGH_n_delta	12	0.378	0.2262	0.386	0.2155	0.268	0.3988	0.9519
Epithelial Mesenchymal Transition	SBS5_delta	13	0.322	0.2835	0.309	0.3042	0.256	0.3989	0.9519
E2F Targets	Tcell_infiltration_delta	12	0.322	0.3079	0.495	0.1018	0.263	0.4091	0.9519
G2-M Checkpoint	Tcell_infiltration_delta	12	0.322	0.3079	0.505	0.0941	0.263	0.4091	0.9519
DNA Double-Strand Break Repair R-HSA-5693532	Tcell_infiltration_delta	12	0.35	0.2652	0.502	0.0962	0.262	0.4102	0.9519
DNA Double-Strand Break Repair R-HSA-5693532	neo_sites_delta	10	-0.467	0.1739	-0.337	0.3417	-0.293	0.4111	0.9519
CD8_proliferation	neo_binders_delta	10	-0.37	0.2931	-0.205	0.5695	-0.293	0.4111	0.9519
DNA Double-Strand Break Repair R-HSA-5693532	SBS5_delta	13	-0.512	0.0739	-0.491	0.0886	-0.248	0.4132	0.9519
Hypoxia_Buffa	SBS5_delta	13	-0.253	0.4041	-0.32	0.287	-0.248	0.4133	0.9519
frac_del	MHC_II_delta	12	0.063	0.8459	0.346	0.2713	0.256	0.4212	0.9519
MSI_pct	SBS5_delta	13	-0.448	0.1251	-0.089	0.7724	-0.243	0.423	0.9519
CD8_cytotoxic	Bcell_infiltration_delta	12	-0.252	0.4299	-0.246	0.4404	-0.252	0.4294	0.9519
MSI_pct	missense_delta	11	0.135	0.692	0.365	0.2692	0.266	0.43	0.9519
frac_amp	CD8_exhaustion_delta	12	-0.395	0.2035	-0.488	0.1071	-0.251	0.4322	0.9519
TMB_nonsyn_per_Mb	SBS5_delta	14	0.066	0.8226	0.285	0.3233	0.226	0.4362	0.9519
Bcell_infiltration	SBS5_delta	13	-0.033	0.9147	-0.157	0.6078	-0.233	0.4442	0.9519
Tcell_infiltration	missense_delta	11	0.305	0.3614	0.469	0.1458	0.256	0.4468	0.9519
TGF-beta Signaling	missense_delta	11	0.292	0.3843	0.114	0.7378	0.256	0.4472	0.9519
EMT_Mak	MHC_II_delta	12	0.021	0.9484	-0.211	0.5107	0.242	0.4485	0.9519
frac_amp	Tcell_infiltration_delta	12	0.125	0.6991	0.16	0.6199	0.239	0.4548	0.9519
TGF-beta Signaling	Treg_delta	12	0.007	0.9828	0.103	0.7492	0.238	0.4565	0.9519
TGF-beta Signaling	neo_binders_delta	10	0.297	0.4047	0.051	0.8887	0.267	0.4567	0.9519
MSI_pct	Treg_delta	11	0.447	0.1679	0.425	0.192	0.249	0.4595	0.9519
CD8_proliferation	missense_delta	11	-0.301	0.3689	-0.325	0.3294	-0.249	0.4598	0.9519
Stemness_mRNAsi_proxy	Tcell_infiltration_delta	12	-0.147	0.6488	-0.18	0.5755	-0.233	0.4653	0.9519
Hypoxia	CD8_cytotoxic_delta	12	0.133	0.6806	0.018	0.9562	0.233	0.4666	0.9519
MHC_II	IGH_n_delta	12	0.175	0.5868	0.233	0.4659	0.231	0.47	0.9519
Hypoxia	TLS_Cabrita_delta	12	0.042	0.897	-0.067	0.8357	0.23	0.4723	0.9519
frac_amp	CD8_cytotoxic_delta	12	0.175	0.587	-0.098	0.7616	0.228	0.4754	0.9519
E2F Targets	MHC_II_delta	12	0.021	0.9484	0.061	0.8513	-0.228	0.4762	0.9519
G2-M Checkpoint	MHC_II_delta	12	0.021	0.9484	0.108	0.7391	-0.228	0.4762	0.9519
EMT_Mak	CD8_cytotoxic_delta	12	0.189	0.5567	0.065	0.842	0.228	0.4769	0.9519
E2F Targets	neo_sites_delta	10	-0.382	0.2763	-0.391	0.2638	-0.253	0.4805	0.9519
G2-M Checkpoint	neo_sites_delta	10	-0.382	0.2763	-0.385	0.2722	-0.253	0.4805	0.9519
frac_del	SBS5_delta	14	0.277	0.3373	0.209	0.473	0.205	0.4817	0.9519
TMB_nonsyn_per_Mb	missense_delta	12	-0.263	0.4094	-0.074	0.8198	-0.223	0.4865	0.9519
Bcell_infiltration	TLS_Cabrita_delta	12	-0.266	0.4038	-0.216	0.4999	-0.22	0.4914	0.9519
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	MHC_II_delta	12	0.091	0.7787	0.093	0.7728	-0.219	0.4939	0.9519
Epithelial Mesenchymal Transition	MHC_II_delta	12	-0.028	0.9312	-0.421	0.1725	0.219	0.4945	0.9519
frac_amp	TRB_shannon_delta	12	-0.316	0.3167	-0.274	0.3883	-0.218	0.4969	0.9519
frac_amp	neo_sites_delta	11	-0.144	0.6733	0.019	0.9564	-0.23	0.4971	0.9519
TGF-beta Signaling	CD8_exhaustion_delta	12	0.049	0.8799	0.154	0.6323	0.215	0.5013	0.9519
